X1PAREDU X1SES
0.568139554 0.4745
1.296834694 1.567
-1.617945867 -0.9992
-1.617945867 -1.0941
-0.889250727 -0.3332
0.568139554 0.4963
-0.889250727 -0.4129
0.568139554 0.7665
-0.160555586 -0.0296
0.568139554 0.0332
-0.889250727 -0.8132
0.568139554 -0.1646
0.568139554 0.0588
-0.160555586 -0.8132
-0.160555586 -0.3706
0.568139554 -0.15
-0.889250727 -0.5005
0.568139554 0.2313
-0.889250727 0.7433
0.568139554 0.6275
-0.889250727 -0.4232
-0.889250727 -1.1012
-0.889250727 -0.7751
0.568139554 0.7785
1.296834694 0.3681
-0.889250727 -0.4924
0.568139554 0.9828
-0.160555586 -0.012
-0.160555586 -0.6811
-0.889250727 -1.1487
-0.889250727 0.0478
-0.889250727 -0.3554
2.025529834 1.8918
-0.889250727 0.0829
-0.160555586 0.4358
1.296834694 0.9192
-0.160555586 0.6763
-0.889250727 -0.4293
0.568139554 0.3498
0.568139554 0.5768
0.568139554 0.3902
0.568139554 0.7523
-0.889250727 -0.9069
-0.889250727 -0.9534
-0.889250727 -0.7751
-0.889250727 -1.3682
-0.160555586 0.1186
-0.889250727 -0.5858
0.568139554 1.1228
-0.889250727 -0.482
0.568139554 0.8706
-0.160555586 -0.2258
0.568139554 0.2883
0.568139554 1.5003
-0.889250727 -0.8455
0.568139554 0.942
-0.160555586 -0.5434
0.568139554 1.102
-0.889250727 -0.9536
0.568139554 1.1911
-0.889250727 -0.2783
-0.889250727 -0.7077
-0.889250727 0.3765
-0.889250727 -0.3332
-0.889250727 -1.1012
-0.889250727 -0.8725
-1.617945867 -1.1433
1.296834694 1.1431
0.568139554 0.4189
-0.889250727 -0.2033
-0.160555586 0.4149
0.568139554 1.1667
-0.889250727 -0.3007
-0.160555586 0.3648
0.568139554 -0.2881
2.025529834 -8
-0.889250727 -0.482
-0.889250727 -0.1431
0.568139554 0.1734
-0.889250727 0.0137
-0.889250727 -0.7933
2.025529834 1.591
1.296834694 0.3514
-0.889250727 -1.2098
0.568139554 0.1099
0.568139554 0.1874
1.296834694 0.5911
-0.889250727 -0.0373
0.568139554 0.8024
0.568139554 0.2801
0.568139554 0.1524
0.568139554 0.0414
0.568139554 0.5941
-0.889250727 -0.8391
-1.617945867 -1.183
1.296834694 1.1489
1.296834694 1.0808
1.296834694 1.3586
0.568139554 0.6225
-0.889250727 -0.2602
-1.617945867 -1.0251
-0.889250727 -0.1277
0.568139554 1.0269
-0.889250727 -1.245
0.568139554 0.6856
-0.160555586 1.1475
1.296834694 0.2706
0.568139554 0.1856
-0.889250727 -0.2477
0.568139554 0.3672
1.296834694 0.9587
0.568139554 0.1543
-0.889250727 -0.5465
-0.160555586 -0.5813
-0.889250727 -1.2803
-0.889250727 -0.8602
-0.889250727 -0.5771
-0.889250727 -0.5592
-0.160555586 -0.1113
1.296834694 1.3326
0.568139554 0.4937
-0.889250727 -0.7281
-0.889250727 0.0374
0.568139554 -0.0754
0.568139554 -0.0996
0.568139554 0.8831
0.568139554 0.7132
-0.889250727 -8
-0.889250727 -0.7157
0.568139554 0.4613
-0.160555586 -0.5142
0.568139554 1.0269
-1.617945867 -0.7147
-0.889250727 -0.7751
0.568139554 0.9394
1.296834694 1.3935
1.296834694 1.3306
-0.889250727 -0.4046
0.568139554 1.1217
-0.160555586 0.1173
0.568139554 1.1166
0.568139554 -0.17
-0.160555586 -0.0289
-0.889250727 -0.9551
1.296834694 1.1745
0.568139554 0.5316
0.568139554 0.3952
-0.160555586 -0.9901
0.568139554 0.756
-0.889250727 -0.3173
-0.889250727 -0.8455
0.568139554 0.8375
-0.889250727 -0.9072
-0.889250727 -0.1206
1.296834694 0.6152
0.568139554 0.028
1.296834694 1.0828
0.568139554 0.8583
0.568139554 1.0912
0.568139554 0.5269
-0.889250727 -0.3091
-0.160555586 1.1097
-0.160555586 0.3341
-0.889250727 -0.6714
0.568139554 1.4744
0.568139554 0.8881
-0.889250727 -0.5771
0.568139554 -0.4399
-0.160555586 -0.382
-1.617945867 -1.2395
0.568139554 1.013
2.025529834 1.1489
2.025529834 1.7902
0.568139554 0.4352
0.568139554 0.2238
-0.889250727 -0.5506
-0.889250727 -1.0862
-0.889250727 -0.4549
1.296834694 1.1341
0.568139554 0.6284
-0.889250727 -0.2285
0.568139554 0.7961
-0.160555586 0.2391
-0.889250727 -0.3641
-0.889250727 -0.6333
-0.160555586 -0.2075
1.296834694 1.2108
